Assessment Area ,Station ,Transect (NS or EW),25m Buoy,50m Buoy,Position (Meter Mark),Actual position (if altered),Sediment Depth (cm) / Excavation Depth ,Exposed Hardbottom ,Sediment over hardbottom,Sediment Only,"Type of sediments (sand, fines, mix)",Description (layers)
Reef 2_N_RR,R2N1-RR,NS,23.8,52,0,,0.2,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,1,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,2,,0.4,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,3,3.1,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,4,,1.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,5,5.1,0.5,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,6,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,7,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,8,,0,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,9,,2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,10,,0.5,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,11,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,12,,1,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,13,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,14,14.1,0.6,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,15,,0.2,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,16,,0.1,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,17,17.2,0.1,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,18,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,19,,0,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,20,,1,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,21,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,22,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,23,,1,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,24,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,25,,0.5,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,26,,0.1,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,27,27.1,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,28,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,29,,1,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,30,,0.2,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,31,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,32,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,33,,0.2,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,34,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,35,,0.5,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,36,,0.8,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,37,,1,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,38,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,39,,0.5,,,,,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,40,,0.2,,X,,Fine,
Reef 2_N_RR,R2N1-RR,NS,23.8,52,41,,0.2,,,,,
